Model,Price,Year,Transmission,Fuel type,City
Opel Astra F,30000,1996,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra H,68000,2008,Механика,Бензин,Душанбе
Opel Astra F,33000,1997,Механика,Бензин + газ,Восе
Opel Vectra B,39000,1999,Механика,Бензин,Душанбе
Opel Astra F,23000,1993,Механика,Бензин + газ,Истаравшан
Opel Astra G,83000,2004,Механика,Бензин,Душанбе
Opel Astra F,24000,1992,Механика,Бензин + газ,Фархор
Opel Astra F,32000,1995,Механика,Бензин + газ,Душанбе
Opel Vectra A,26000,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,77000,2010,Механика,Дизель,Бохтар (Курган-Тюбе)
Opel Astra F,33000,1996,Механика,Бензин + газ,Хамадани
Opel Astra H,77000,2009,Механика,Бензин,Душанбе
Opel Astra G,55000,1999,Механика,Бензин + газ,Гиссар
Opel Astra F,38000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,40000,1996,Механика,Бензин,Душанбе
Opel Vectra B,48000,2001,Механика,Бензин + газ,Вахдат
Opel Astra H,58000,2008,Механика,Бензин,Куляб
Opel Vectra A,30000,1993,Механика,Бензин + газ,Душанбе
Opel Vectra B,45000,1995,Механика,Бензин,Худжанд
Opel Astra F,32000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,58000,1999,Автомат,Бензин + газ,Пенджикент
Opel Zafira,74000,2006,Механика,Дизель,Худжанд
Opel Astra F,17000,1992,Механика,Бензин,Душанбе
Opel Astra G,67000,2002,Автомат,Бензин + газ,Душанбе
Opel Astra H,55000,2012,Механика,Бензин,Спитамен
Opel Astra F,16000,1994,Механика,Бензин,Пенджикент
Opel Astra G,60000,1999,Механика,Бензин + газ,Зафарабад
Opel Astra F,25000,1997,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra G,70000,2000,Механика,Бензин + газ,Турсунзаде
Opel Vectra B,29999,1996,Механика,Бензин + газ,Хамадани
Opel Vectra B,30000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,32000,1997,Механика,Бензин + газ,Носири Хусрав
Opel Vectra A,22000,1991,Механика,Бензин + газ,Исфара
Opel Astra F,48500,1998,Механика,Бензин + газ,Худжанд
Opel Zafira,55000,2006,Механика,Дизель,Хамадани
Opel Vectra A,17000,1991,Механика,Газ,Гиссар
Opel Vectra A,26000,1995,Механика,Бензин + газ,Вахдат
Opel Zafira,72000,2003,Механика,Бензин + газ,Джаббор Расулов
Opel Zafira,73000,2009,Механика,Бензин,Душанбе
Opel Astra G,69999,2003,Механика,Бензин + газ,Вахдат
Opel Vectra B,32000,1996,Механика,Бензин + газ,Яван
Opel Zafira,54000,2007,Механика,Дизель,Душанбе
Opel Astra F,35000,1992,Механика,Бензин,Душанбе
Opel Astra H,62000,2008,Механика,Бензин + газ,Худжанд
Opel Vectra A,24000,1991,Механика,Бензин + газ,Душанбе
Opel Astra F,24000,1994,Механика,Газ,Истаравшан
Opel Antara,85000,2008,Автомат,Бензин + газ,Душанбе
Opel Astra G,55000,1999,Механика,Бензин,Худжанд
Opel Astra G,60000,2007,Механика,Дизель,Худжанд
Opel Astra F,15000,1994,Механика,Бензин + газ,Восе
Opel Vectra A,25500,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,1998,Механика,Бензин + газ,Худжанд
Opel Corsa,24000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,24000,1996,Механика,Бензин + газ,Яван
Opel Astra F,38000,1996,Механика,Газ,Гиссар
Opel Astra F,33000,1995,Механика,Бензин + газ,Вахдат
Opel Astra G,53000,1998,Механика,Бензин + газ,Куляб
Opel Vectra A,28000,1992,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra H,65000,2007,Робот,Бензин + газ,Худжанд
Opel Astra G,57000,1999,Механика,Бензин,Душанбе
Opel Vectra A,25000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,28000,1992,Механика,Бензин + газ,Истаравшан
Opel Astra F,12000,2005,Механика,Бензин,Душанбе
Opel Astra F,45000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,66000,1999,Механика,Бензин,Худжанд
Opel Astra F,35000,1997,Механика,Бензин + газ,Лахш (Джиргиталь)
Opel Vectra A,16000,1991,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra G,45000,1999,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra F,32000,1996,Механика,Бензин,Душанбе
Opel Astra F,45000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,35500,1995,Механика,Бензин + газ,Куляб
Opel Astra G,44500,1999,Механика,Бензин + газ,Куляб
Opel Zafira,89000,2007,Механика,Бензин,Исфара
Opel Astra G,53000,1999,Механика,Бензин,Душанбе
Opel Astra G,73000,2001,Автомат,Бензин + газ,Канибадам
Opel Vectra A,27000,1994,Механика,Бензин + газ,Муминабад
Opel Astra H,59999,2005,Механика,Бензин,Фархор
Opel Astra H,76000,2006,Механика,Бензин + газ,Душанбе
Opel Astra F,21000,1993,Механика,Бензин + газ,Душанбе
Opel Astra G,65000,2003,Механика,Бензин + газ,Душанбе
Opel Astra H,70000,2008,Механика,Бензин + газ,Худжанд
Opel Vectra B,43000,1998,Механика,Бензин,Вахдат
Opel Astra F,23000,1993,Механика,Бензин + газ,Исфара
Opel Vectra B,35000,1996,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Insignia,86000,2012,Автомат,Бензин,Джалолиддин Балхи (Руми)
Opel Zafira,84999,2006,Механика,Бензин,Душанбе
Opel Astra H,70000,2006,Механика,Бензин,Пенджикент
Opel Astra F,36000,1996,Механика,Бензин,Дангара
Opel Astra G,59000,2006,Механика,Бензин,Душанбе
Opel Zafira,67000,2007,Механика,Бензин + газ,Душанбе
Opel Vectra B,31000,1996,Механика,Бензин + газ,Худжанд
Opel Vectra B,30000,1997,Механика,Бензин + газ,Худжанд
Opel Zafira,90000,2006,Механика,Бензин,Худжанд
Opel Vectra A,18000,1989,Механика,Бензин,Дусти (Джиликуль)
Opel Astra F,34000,1998,Механика,Газ,Куляб
Opel Vectra B,35000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,82000,2004,Автомат,Бензин,Душанбе
Opel Signum,55000,2003,Робот,Бензин,Худжанд
Opel Vectra B,59000,2000,Автомат,Бензин + газ,Гулистон (Кайраккум)
Opel Vectra A,20000,1991,Механика,Бензин + газ,Худжанд
Opel Astra G,69000,2006,Механика,Бензин,Куляб
Opel Astra F,28000,1994,Механика,Бензин + газ,Душанбе
Opel Astra H,58500,2007,Механика,Бензин,Гиссар
Opel Vectra B,53000,2001,Автомат,Бензин + газ,Куляб
Opel Astra F,27000,1995,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra F,35500,1992,Механика,Бензин + газ,Спитамен
Opel Astra F,40000,1997,Механика,Бензин + газ,Куляб
Opel Vectra A,14000,1992,Механика,Бензин + газ,Спитамен
Opel Astra H,87000,2007,Механика,Бензин + газ,Худжанд
Opel Zafira,99500,2008,Механика,Бензин,Худжанд
Opel Astra F,27000,1993,Механика,Газ,Душанбе
Opel Astra F,43000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,53000,2000,Механика,Бензин + газ,Пяндж
Opel Astra G,77000,2006,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra H,79000,2006,Механика,Бензин + газ,Куляб
Opel Astra G,66000,2001,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,15000,1990,Механика,Бензин,Нурек
Opel Astra G,52000,1998,Механика,Бензин + газ,Турсунзаде
Opel Vectra B,45000,1999,Механика,Бензин + газ,Яван
Opel Zafira,63000,2007,Автомат,Дизель,Худжанд
Opel Vectra A,13000,1990,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Vectra A,37000,1995,Механика,Бензин + газ,Турсунзаде
Opel Astra G,46000,1998,Автомат,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra F,27000,1992,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,60000,2006,Механика,Дизель,Истаравшан
Opel Astra J,125000,2016,Механика,Бензин + газ,Худжанд
Opel Astra G,65000,2001,Механика,Бензин + газ,Пенджикент
Opel Astra F,35000,1997,Механика,Бензин + газ,Хамадани
Opel Astra F,35000,1994,Механика,Бензин + газ,Душанбе
Opel Astra H,68000,2007,Механика,Бензин,Душанбе
Opel Vectra B,40000,2001,Автомат,Бензин + газ,Яван
Opel Astra F,60000,1998,Механика,Бензин,Пенджикент
Opel Vectra A,20000,1991,Механика,Бензин + газ,Яван
Opel Astra F,50000,1996,Механика,Бензин + газ,Куляб
Opel Astra G,60000,2000,Механика,Бензин + газ,Душанбе
Opel Vectra B,46000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,21500,1994,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Vectra A,29000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,49999,1998,Механика,Бензин + газ,Душанбе
Opel Astra H,65000,2009,Механика,Бензин + газ,Худжанд
Opel Astra F,17700,1998,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra F,44000,2001,Механика,Бензин + газ,Душанбе
Opel Vectra B,30000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,44000,1996,Механика,Бензин + газ,Истаравшан
Opel Astra F,32000,2020,Механика,Бензин + газ,Душанбе
Opel Astra F,47000,1997,Механика,Бензин + газ,Худжанд
Opel Astra F,46000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,60000,2001,Механика,Бензин,Душанбе
Opel Astra F,45000,1997,Механика,Бензин + газ,Худжанд
Opel Astra G,85000,2003,Механика,Бензин + газ,Гиссар
Opel Vectra A,28000,1990,Механика,Бензин + газ,Спитамен
Opel Vectra A,26000,1991,Механика,Бензин + газ,Джаббор Расулов
Opel Zafira,70000,2002,Механика,Бензин + газ,Душанбе
Opel Vectra A,9500,1990,Механика,Бензин + газ,Хуросон
Opel Astra F,24000,1993,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,1998,Механика,Бензин + газ,Канибадам
Opel Vectra C,30000,2003,Автомат,Бензин,Рашт
Opel Vectra B,55000,2000,Механика,Бензин,Пенджикент
Opel Astra F,33000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,65000,2000,Механика,Бензин + газ,Пенджикент
Opel Vectra B,37000,1997,Механика,Бензин + газ,Дангара
Opel Zafira,67000,2006,Механика,Бензин,Душанбе
Opel Astra H,82000,2006,Автомат,Бензин,Худжанд
Opel Astra G,42500,1999,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Zafira,65000,2006,Механика,Бензин + газ,Душанбе
Opel Astra H,62000,2008,Механика,Дизель,Худжанд
Opel Zafira,88000,2007,Механика,Бензин,Худжанд
Opel Astra F,39000,1998,Механика,Бензин,Рудаки
Opel Vectra A,10000,1989,Механика,Бензин + газ,Яван
Opel Astra F,46000,1996,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra G,70000,2001,Механика,Бензин + газ,Шахритус
Opel Astra F,28000,1994,Механика,Бензин,Яван
Opel Vectra A,19500,1993,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Astra H,35000,1993,Механика,Бензин + газ,Истаравшан
Opel Vectra C,38500,2005,Автомат,Бензин,Душанбе
Opel Astra G,60000,1998,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Zafira,84000,2007,Автомат,Бензин,Душанбе
Opel Astra F,33000,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,80000,2003,Механика,Бензин + газ,Душанбе
Opel Astra F,52000,1997,Автомат,Бензин + газ,Пенджикент
Opel Astra F,38000,1998,Механика,Бензин + газ,Вахш
Opel Astra F,47000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra A,25000,1991,Механика,Бензин + газ,Душанбе
Opel Vectra A,38000,1994,Механика,Бензин,Душанбе
Opel Astra F,33000,1996,Механика,Бензин + газ,Куляб
Opel Astra G,90000,2004,Механика,Бензин,Шахритус
Opel Zafira,45000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1992,Механика,Бензин + газ,Худжанд
Opel Vectra A,20000,1993,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Vectra A,27500,1994,Механика,Бензин + газ,Фархор
Opel Astra G,50000,1998,Механика,Бензин + газ,Душанбе
Opel Vectra B,37000,1998,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,38000,1996,Механика,Бензин,Джайхун (Кумсангир)
Opel Astra F,41000,1987,Механика,Бензин,Душанбе
Opel Astra H,68500,2006,Механика,Бензин,Душанбе
Opel Astra F,36000,1996,Механика,Бензин + газ,Гиссар
Opel Vectra A,33000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1993,Механика,Бензин,Яван
Opel Astra J,105000,2014,Механика,Бензин,Худжанд
Opel Zafira,58000,2002,Механика,Бензин + газ,Фархор
Opel Vectra A,15000,1991,Механика,Бензин,Хуросон
Opel Astra F,33000,1997,Автомат,Бензин + газ,Нурек
Opel Corsa,29500,1997,Механика,Бензин + газ,Дангара
Opel Zafira,70000,2007,Механика,Дизель,Пенджикент
Opel Zafira,70000,2000,Механика,Бензин + газ,Джаббор Расулов
Opel Vectra B,8700,1991,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra A,18000,1994,Механика,Бензин + газ,Рудаки
Opel Astra G,73000,2003,Автомат,Бензин + газ,Душанбе
Opel Vectra B,25000,1997,Механика,Бензин + газ,Худжанд
Opel Vectra A,18000,1990,Механика,Бензин + газ,Исфара
Opel Astra F,35000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Combo,50000,2008,Механика,Бензин + газ,Худжанд
Opel Astra G,77000,2004,Автомат,Бензин,Турсунзаде
Opel Astra F,48000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,58000,2006,Механика,Бензин + газ,Гиссар
Opel Astra F,40000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,67000,2001,Автомат,Бензин + газ,Куляб
Opel Astra H,60000,2010,Механика,Дизель,Истаравшан
Opel Astra G,46000,1999,Механика,Бензин,Куляб
Opel Frontera,44000,2002,Механика,Бензин,Душанбе
Opel Astra F,46500,1997,Автомат,Бензин + газ,Душанбе
Opel Zafira,75000,2004,Автомат,Бензин,Душанбе
Opel Vectra B,15000,1991,Механика,Газ,Истаравшан
Opel Vectra A,22500,1993,Механика,Бензин + газ,Душанбе
Opel Zafira,65000,2000,Автомат,Бензин + газ,Худжанд
Opel Vectra A,26000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,1999,Механика,Бензин + газ,Яван
Opel Meriva,55000,2006,Механика,Дизель,Яван
Opel Astra F,34999,1995,Механика,Бензин + газ,Душанбе
Opel Astra H,67999,2008,Механика,Бензин + газ,Куляб
Opel Zafira,59500,2000,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra F,25000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,37000,1997,Механика,Бензин + газ,Пенджикент
Opel Astra G,55000,2002,Механика,Бензин,Душанбе
Opel Astra F,34999,1996,Механика,Бензин + газ,Душанбе
Opel Vectra B,32000,1996,Механика,Бензин + газ,Худжанд
Opel Astra F,27000,1993,Механика,Бензин + газ,Душанбе
Opel Astra H,75000,2010,Механика,Бензин + газ,Худжанд
Opel Astra F,25000,1994,Механика,Бензин + газ,Восе
Opel Vectra A,39000,1995,Механика,Бензин,Вахдат
Opel Astra G,61000,2006,Механика,Бензин + газ,Душанбе
Opel Astra G,70000,1999,Механика,Бензин,Худжанд
Opel Vectra B,24900,1997,Механика,Бензин,Вахдат
Opel Astra G,82000,2004,Механика,Бензин + газ,Бободжон Гафуров
Opel Vectra B,44000,1998,Механика,Бензин + газ,Канибадам
Opel Astra H,72000,2008,Механика,Бензин,Куляб
Opel Astra F,23000,1997,Механика,Бензин + газ,Турсунзаде
Opel Astra G,42000,2001,Автомат,Бензин,Вахдат
Opel Vectra A,26000,1993,Механика,Бензин + газ,Душанбе
Opel Vectra A,26000,1995,Механика,Бензин + газ,Гиссар
Opel Astra G,70000,2001,Механика,Бензин,Истаравшан
Opel Astra G,74000,2007,Механика,Бензин,Душанбе
Opel Vectra A,20000,1992,Механика,Бензин + газ,Канибадам
Opel Astra F,35000,1993,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra G,48000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,55000,1999,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,33000,1995,Механика,Бензин,Шахритус
Opel Vectra B,27000,1996,Механика,Бензин + газ,Худжанд
Opel Vectra A,20000,1994,Механика,Бензин + газ,Дангара
Opel Astra G,66000,2003,Механика,Бензин + газ,Фархор
Opel Astra F,28000,1997,Механика,Бензин + газ,Куляб
Opel Astra F,32000,1995,Механика,Бензин + газ,Душанбе
Opel Astra G,65000,2003,Механика,Бензин + газ,Гиссар
Opel Astra G,55000,2000,Механика,Бензин + газ,Худжанд
Opel Zafira,50000,2000,Механика,Бензин + газ,Шахритус
Opel Vectra C,33000,2002,Механика,Бензин + газ,Шахритус
Opel Astra F,24000,1996,Механика,Бензин + газ,Шахритус
Opel Astra G,69500,2001,Механика,Бензин + газ,Худжанд
Opel Astra G,63000,1999,Механика,Бензин,Душанбе
Opel Astra F,28000,1991,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,27999,1992,Механика,Бензин + газ,Душанбе
Opel Zafira,70000,1999,Механика,Бензин + газ,Худжанд
Opel Astra F,24000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,21000,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,1999,Механика,Бензин + газ,Фархор
Opel Astra F,25999,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,38500,1996,Механика,Бензин + газ,Душанбе
Opel Vectra A,33000,1994,Механика,Бензин + газ,Душанбе
Opel Zafira,83000,2007,Механика,Бензин + газ,Худжанд
Opel Zafira,105000,2011,Механика,Бензин,Душанбе
Opel Astra F,26999,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,2000,Механика,Бензин,Таджикабад
Opel Vectra A,36000,1995,Механика,Газ,Худжанд
Opel Astra G,60000,1999,Механика,Бензин + газ,Ашт
Opel Astra G,48000,1998,Механика,Бензин + газ,Восе
Opel Astra G,78000,2007,Механика,Бензин,Душанбе
Opel Astra F,22000,1994,Механика,Бензин + газ,Файзабад
Opel Vectra B,43000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,33000,1994,Механика,Бензин + газ,Душанбе
Opel Zafira,74000,2006,Автомат,Дизель,Худжанд
Opel Astra H,74000,2008,Механика,Бензин,Бободжон Гафуров
Opel Astra F,44000,1998,Механика,Бензин + газ,Душанбе
Opel Astra H,53000,2007,Механика,Дизель,Темурмалик
Opel Astra G,59999,2007,Механика,Бензин + газ,Куляб
Opel Astra F,20000,1993,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,12700,1992,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra G,53000,2000,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Insignia,44500,2009,Механика,Дизель,Душанбе
Opel Astra G,75000,2003,Механика,Бензин + газ,Худжанд
Opel Zafira,73999,2006,Механика,Дизель,Худжанд
Opel Zafira,65000,2007,Механика,Дизель,Душанбе
Opel Astra G,67000,2007,Механика,Бензин + газ,Истаравшан
Opel Vectra A,20000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,60000,1998,Механика,Бензин + газ,Исфара
Opel Vectra A,33000,1994,Механика,Бензин,Яван
Opel Astra F,48000,1997,Механика,Бензин,Душанбе
Opel Vectra C,29000,2002,Механика,Бензин + газ,Душанбе
Opel Astra H,53000,2007,Механика,Бензин + газ,Душанбе
Opel Vectra A,24000,1992,Механика,Бензин + газ,Куляб
Opel Vectra B,29500,1996,Механика,Бензин + газ,Вахдат
Opel Astra F,32000,1993,Механика,Бензин,Душанбе
Opel Zafira,55999,1999,Механика,Бензин + газ,Ашт
Opel Astra F,40000,1994,Механика,Бензин + газ,Душанбе
Opel Zafira,60000,1999,Механика,Бензин,Ашт
Opel Vectra B,40000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,22000,1992,Механика,Бензин + газ,Джами
Opel Vectra C,45000,2002,Автомат,Бензин,Фархор
Opel Zafira,79500,2006,Механика,Бензин,Худжанд
Opel Meriva,45000,2007,Механика,Дизель,Истаравшан
Opel Vectra A,23000,1993,Механика,Бензин + газ,Яван
Opel Astra F,26000,1992,Механика,Бензин,Абдурахмони Джоми
Opel Astra F,23000,1992,Механика,Бензин + газ,Истаравшан
Opel Vectra A,35000,1995,Механика,Бензин + газ,Яван
Opel Vectra B,25000,1996,Механика,Бензин,Душанбе
Opel Astra F,49000,1997,Механика,Бензин + газ,Душанбе
Opel Astra H,69000,2007,Механика,Бензин + газ,Куляб
Opel Vectra B,23000,1997,Механика,Бензин,Душанбе
Opel Vectra A,28000,1992,Механика,Бензин + газ,Вахдат
Opel Astra F,27000,1992,Механика,Бензин + газ,Худжанд
Opel Astra F,32000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1994,Механика,Бензин + газ,Худжанд
Opel Astra F,47500,1996,Механика,Бензин,Пенджикент
Opel Astra F,17500,1991,Механика,Газ,Гиссар
Opel Astra H,80000,2007,Механика,Бензин + газ,Худжанд
Opel Astra G,41000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,78000,2009,Механика,Дизель,Худжанд
Opel Vectra A,15000,1992,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1997,Механика,Бензин + газ,Айни
Opel Astra G,49999,1998,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,25000,1992,Механика,Бензин + газ,Вахдат
Opel Astra G,64000,2003,Механика,Бензин + газ,Душанбе
Opel Zafira,95000,2008,Автомат,Бензин,Матча
Opel Astra F,42000,1997,Механика,Бензин,Дусти (Джиликуль)
Opel Vectra B,37000,1997,Механика,Бензин + газ,Вахдат
Opel Astra F,25000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1995,Механика,Бензин,Душанбе
Opel Astra F,22000,1992,Механика,Бензин + газ,Хамадани
Opel Zafira,45000,1999,Механика,Бензин + газ,Худжанд
Opel Astra G,85000,2006,Механика,Бензин,Нурек
Opel Astra G,62000,2007,Механика,Бензин,Душанбе
Opel Astra H,70000,2008,Механика,Дизель,Истаравшан
Opel Astra G,65000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,34000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,1999,Механика,Бензин + газ,Восе
Opel Astra F,36000,1996,Механика,Бензин + газ,Рудаки
Opel Zafira,60000,1999,Механика,Бензин + газ,Истаравшан
Opel Astra G,47000,1998,Механика,Бензин + газ,Куляб
Opel Astra G,77000,2006,Механика,Бензин + газ,Душанбе
Opel Zafira,80000,2006,Механика,Бензин,Матча
Opel Zafira,50000,2006,Механика,Бензин,Худжанд
Opel Vectra B,42000,2000,Механика,Бензин + газ,Вахдат
Opel Zafira,76000,2007,Механика,Бензин + газ,Душанбе
Opel Astra H,75000,2008,Механика,Бензин,Рашт
Opel Astra G,51500,1998,Механика,Бензин,Худжанд
Opel Astra F,16000,1992,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,32000,1992,Механика,Бензин + газ,Куляб
Opel Astra J,85000,2013,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,27000,1992,Механика,Бензин + газ,Вахдат
Opel Astra F,48000,1998,Механика,Бензин + газ,Душанбе
Opel Vectra A,24000,1994,Механика,Бензин + газ,Вахдат
Opel Zafira,65000,2002,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,1998,Механика,Бензин,Рашт
Opel Astra G,80000,2004,Автомат,Бензин + газ,Пенджикент
Opel Zafira,75000,2001,Механика,Бензин + газ,Худжанд
Opel Vectra B,16000,1991,Механика,Бензин + газ,Вахдат
Opel Astra G,46000,1999,Автомат,Бензин,Хорог
Opel Astra G,69499,2003,Механика,Бензин,Пенджикент
Opel Astra F,23000,1993,Механика,Бензин,Дангара
Opel Vectra A,25000,1993,Механика,Бензин + газ,Матча
Opel Vectra A,26999,1995,Механика,Бензин + газ,Яван
Opel Astra F,45000,1998,Механика,Бензин + газ,Куляб
Opel Astra F,33000,1996,Механика,Бензин,Рудаки
Opel Astra H,80000,2007,Механика,Бензин,Душанбе
Opel Astra F,27000,1995,Механика,Бензин + газ,Нурек
Opel Astra H,68000,2007,Механика,Бензин,Душанбе
Opel Astra G,55000,2000,Механика,Бензин + газ,Гиссар
Opel Astra G,50000,1999,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra J,95000,2011,Механика,Дизель,Худжанд
Opel Astra J,92000,2014,Механика,Бензин,Худжанд
Opel Vectra A,17000,1990,Механика,Бензин,Яван
Opel Astra F,38000,1997,Механика,Бензин + газ,Куляб
Opel Vectra B,45000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,42500,1997,Механика,Бензин + газ,Душанбе
Opel Astra F,19000,1992,Механика,Бензин + газ,Хамадани
Opel Astra G,67000,2003,Механика,Бензин + газ,Вахдат
Opel Vectra A,20000,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Insignia,80000,2011,Автомат,Бензин,Яван
Opel Astra F,22000,1992,Механика,Бензин + газ,Яван
Opel Astra F,35000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra A,46500,1995,Механика,Бензин + газ,Канибадам
Opel Astra G,70000,2002,Механика,Бензин,Абдурахмони Джоми
Opel Astra G,63000,2002,Механика,Бензин,Фархор
Opel Astra F,27500,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,40000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra A,29000,1995,Механика,Бензин + газ,Душанбе
Opel Vectra B,30000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra B,41000,1996,Механика,Бензин + газ,Вахдат
Opel Zafira,85000,2005,Механика,Бензин,Худжанд
Opel Vectra B,55000,2001,Механика,Бензин + газ,Душанбе
Opel Sintra,24000,1998,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra H,68000,2007,Механика,Дизель,Худжанд
Opel Astra F,37500,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,62999,2000,Механика,Бензин,Душанбе
Opel Vectra A,25000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,26000,1996,Механика,Бензин + газ,Душанбе
Opel Astra H,78000,2007,Механика,Бензин + газ,Восе
Opel Zafira,89000,2003,Механика,Бензин,Душанбе
Opel Astra G,78000,2006,Механика,Бензин,Шахринав
Opel Astra F,30000,1992,Механика,Бензин + газ,Шахритус
Opel Astra G,70000,2006,Механика,Бензин + газ,Душанбе
Opel Vectra A,25000,1997,Механика,Бензин,Восе
Opel Astra G,68000,2000,Механика,Бензин,Вахдат
Opel Vectra A,19999,1995,Механика,Бензин + газ,Душанбе
Opel Vectra B,49999,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,56999,2000,Механика,Бензин + газ,Душанбе
Opel Vectra B,45000,2000,Механика,Бензин + газ,Гиссар
Opel Astra G,65000,2001,Автомат,Бензин + газ,Худжанд
Opel Vectra B,35600,1998,Механика,Бензин + газ,Пяндж
